4U 0142+61   0146+6145  1 51141.      248.         650.    150.       14.        5.      47
B1800-21     1803-2137  2 50264.1        .1          7.1      .2       0.5        .1     60, also in 29
B1800-21     1803-2137  3 50777.        4.        3183.9      .5       8.0        .2     60, also in 54
B1800-21     1803-2137  4 53429.        1.        3929.3      .4      10.6        .1     60
J1806-2125   1806-2125  1 51708.      123.       15773.1    12.3      37.        3.      60, also in 22
B1809-173    1812-1718  1 49932.        1.           1.5      .2       6.        3.      60
B1809-173    1812-1718  2 53106.2        .1         14.8      .2       7.        4.      60
B1809-173    1812-1718  3 54365.8        .3          1.4      .1       1.        1.      60
J1809-1917   1809-1917  1 53251.        2.        1625.1      .3       7.8        .3     60
J1809-2004   1809-2004  1 54196.       25.           2.      1.        7.        7.      60
J1814-1744   1814-1744  1 51371.        4.           8.      4.       -3.        1.      60
J1814-1744   1814-1744  2 51678.        1.          10.      2.        5.        3.      60, also in 25
J1814-1744   1814-1744  3 52075.        7.          34.      2.       -5.        3.      60, also in 25
J1814-1744   1814-1744  4 53241.       12.           3.      1.        0.7        .4     60, also in 25
J1814-1744   1814-1744  5 53756.4        .2         11.      2.        8.        4.      60
J1819-1458   1819-1458  1 53925.79       .04       725.      3.       78.        6.      60, also in 38
J1819-1458   1819-1458  2 54176.5        .2         72.      1.       36.        2.      60, also in 38
B1821-11     1824-1118  1 54306.        3.        2877.0      .2     -10.        2.      60
B1821-24     1824-2452  1 51980.       31.           0.008    .001     0.00       .04    60, also in 4
B1822-09     1825-0935  1 49942.1        .4          2.8      .2      -2.        1.      60, also in 49
B1822-09     1825-0935  2 50314.        2.           1.3      .2       0.        1.      60
B1822-09     1825-0935  3 52056.        1.          29.8      .1       3.4        .2     60, mentioned in 58
B1822-09     1825-0935  4 52810.        1.           1.3      .4      -2.        3.      60, mentioned in 58
B1822-09     1825-0935  5 53734.6        .1          4.      1.       -6.        5.      60, also in 50
B1822-09     1825-0935  6 54114.96       .03       121.      1.       -4.        3.      60
B1823-13     1826-1334  1 46507.       29.        2746.      1.        1.7        .1     60, also in 51
B1823-13     1826-1334  2 49120.       11.        2984.6      .3       7.6        .1     60, also in 51
B1823-13     1826-1334  3 53206.        1.           0.6      .3      -1.        1.      60
B1823-13     1826-1334  4 53259.        1.           3.      1.       -1.        1.      60
B1823-13     1826-1334  5 53737.        1.        3581.      1.        9.6        .4     60
B1830-08     1833-0827  1 47541.3        .1          0.9      .1      -0.1        .1     60
B1830-08     1833-0827  2 48051.        4.        1865.6      .1       1.742      .001   60, also in 51
J1830-1135   1830-1135  1 52367.        6.           2.1      .3       1.        1.      60
J1834-0731   1834-0731  1 53479.        1.           4.4      .4       0.6        .4     60
J1835-1106   1835-1106  1 52225.8        .2         15.6      .4       2.5        .4     60, also in 58
J1837-0559   1837-0559  1 53150.        1.           3.2      .3      13.        7.      60
J1838-0453   1838-0453  1 52162.      213.        9902.    381.        7.        1.      60
J1838-0453   1838-0453  2 54140.        4.           9.      1.       -0.1        .4     60
B1838-04     1841-0425  1 53388.       10.         578.60     .03      7.72       .03    60
B1841-05     1844-0538  1 47452.        1.           1.0      .1       0.9        .3     60
J1841-0524   1841-0524  1 53562.        1.          29.      1.        1.0        .5     60
J1841-0524   1841-0524  2 54012.88       .05        25.      2.        2.        1.      60
J1841-0524   1841-0524  3 54503.       21.        1032.      1.        0.7        .3     60
